iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
#--> latest commit:e2967234319cf56d5cf2f188cc3c490f5582c24b 20220118020417 in burger_war_dev
0, 1, 240, 2022-01-18T02:10:20+09:00, 8, 1, WIN, r
0, 2, 240, 2022-01-18T02:15:25+09:00, 10, 0, WIN, r
0, 3, 240, 2022-01-18T02:20:30+09:00, 10, 0, WIN, r
0, 4, 240, 2022-01-18T02:25:35+09:00, 6, 5, WIN, r
0, 5, 240, 2022-01-18T02:30:40+09:00, 17, 5, WIN, r
0, 6, 240, 2022-01-18T02:35:45+09:00, 16, 6, WIN, r
0, 7, 240, 2022-01-18T02:40:49+09:00, 14, 3, WIN, r
0, 8, 240, 2022-01-18T02:45:55+09:00, 3, 1, WIN, r
0, 9, 240, 2022-01-18T02:50:59+09:00, 9, 3, WIN, r
0, 10, 240, 2022-01-18T02:56:04+09:00, 12, 2, WIN, r
0, 11, 240, 2022-01-18T03:01:09+09:00, 13, 2, WIN, r
0, 12, 240, 2022-01-18T03:06:15+09:00, 8, 4, WIN, r
