iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
#--> latest commit:cc10840a351a9e72bd92f0a33206a60b2f55b91d 20220202071553 in burger_war_dev
0, 1, 190, 2022-02-02T19:21:09+09:00, 7, 6, WIN, r
0, 2, 190, 2022-02-02T19:25:23+09:00, 5, 1, WIN, r
0, 3, 190, 2022-02-02T19:29:37+09:00, 7, 14, LOSE, r
0, 4, 190, 2022-02-02T19:33:51+09:00, 13, 9, WIN, r
0, 5, 190, 2022-02-02T19:38:05+09:00, 3, 13, LOSE, r
0, 6, 190, 2022-02-02T19:42:19+09:00, 2, 10, LOSE, r
0, 7, 190, 2022-02-02T19:46:34+09:00, 4, 6, LOSE, r
0, 8, 190, 2022-02-02T19:50:48+09:00, 4, 8, LOSE, r
0, 9, 190, 2022-02-02T19:55:02+09:00, 5, 12, LOSE, r
0, 1, 190, 2022-02-03T00:37:40+09:00, 6, 1, WIN, r
0, 2, 190, 2022-02-03T00:41:54+09:00, 4, 4, LOSE, r
0, 3, 190, 2022-02-03T00:46:08+09:00, 2, 12, LOSE, r
0, 4, 190, 2022-02-03T00:50:22+09:00, 14, 10, WIN, r
0, 5, 190, 2022-02-03T00:54:36+09:00, 1, 12, LOSE, r
0, 6, 190, 2022-02-03T00:58:50+09:00, 2, 12, LOSE, r
0, 7, 190, 2022-02-03T01:03:05+09:00, 3, 17, LOSE, r
0, 8, 190, 2022-02-03T01:07:19+09:00, 3, 7, LOSE, r
0, 9, 190, 2022-02-03T01:11:33+09:00, 4, 8, LOSE, r
0, 10, 190, 2022-02-03T01:15:47+09:00, 1, 15, LOSE, r
0, 11, 190, 2022-02-03T01:20:01+09:00, 2, 12, LOSE, r
0, 12, 190, 2022-02-03T01:24:16+09:00, 4, 11, LOSE, r
1, 1, 190, 2022-02-03T04:11:44+09:00, 4, 1, WIN, r
1, 2, 190, 2022-02-03T04:15:58+09:00, 4, 4, LOSE, r
1, 3, 190, 2022-02-03T04:20:12+09:00, 1, 11, LOSE, r
1, 4, 190, 2022-02-03T04:24:26+09:00, 11, 7, WIN, r
1, 5, 190, 2022-02-03T04:28:40+09:00, 1, 11, LOSE, r
1, 6, 190, 2022-02-03T04:32:54+09:00, 10, 20, LOSE, r
1, 7, 190, 2022-02-03T04:36:54+09:00, 6, 15, LOSE, r
1, 8, 190, 2022-02-03T04:41:08+09:00, 6, 8, LOSE, r
1, 9, 190, 2022-02-03T04:45:22+09:00, 14, 11, WIN, r
1, 10, 190, 2022-02-03T04:49:36+09:00, 2, 13, LOSE, r
1, 11, 190, 2022-02-03T04:53:50+09:00, 15, 11, WIN, r
1, 12, 190, 2022-02-03T04:58:04+09:00, 2, 14, LOSE, r
2, 1, 190, 2022-02-03T07:41:04+09:00, 5, 9, LOSE, r
2, 2, 190, 2022-02-03T07:45:18+09:00, 6, 2, WIN, r
2, 3, 190, 2022-02-03T07:49:32+09:00, 5, 5, LOSE, r
2, 4, 190, 2022-02-03T07:53:46+09:00, 4, 5, LOSE, r
2, 5, 190, 2022-02-03T07:58:01+09:00, 3, 14, LOSE, r
2, 6, 190, 2022-02-03T08:02:15+09:00, 6, 12, LOSE, r
2, 7, 190, 2022-02-03T08:06:29+09:00, 3, 10, LOSE, r
2, 8, 190, 2022-02-03T08:10:30+09:00, 3, 0, WIN, r
2, 9, 190, 2022-02-03T08:14:44+09:00, 4, 13, LOSE, r
2, 10, 190, 2022-02-03T08:18:58+09:00, 5, 17, LOSE, r
2, 11, 190, 2022-02-03T08:23:12+09:00, 3, 13, LOSE, r
2, 12, 190, 2022-02-03T08:27:26+09:00, 3, 16, LOSE, r
3, 1, 190, 2022-02-03T11:10:19+09:00, 3, 1, WIN, r
3, 2, 190, 2022-02-03T11:14:33+09:00, 7, 6, WIN, r
3, 3, 190, 2022-02-03T11:18:47+09:00, 12, 9, WIN, r
3, 4, 190, 2022-02-03T11:23:01+09:00, 5, 12, LOSE, r
3, 5, 190, 2022-02-03T11:27:15+09:00, 12, 22, LOSE, r
3, 6, 190, 2022-02-03T11:31:30+09:00, 5, 13, LOSE, r
3, 7, 190, 2022-02-03T11:35:44+09:00, 1, 11, LOSE, r
3, 8, 190, 2022-02-03T11:39:58+09:00, 2, 6, LOSE, r
3, 9, 190, 2022-02-03T11:44:12+09:00, 3, 13, LOSE, r
3, 10, 190, 2022-02-03T11:48:26+09:00, 6, 18, LOSE, r
3, 11, 190, 2022-02-03T11:52:40+09:00, 3, 10, LOSE, r
3, 12, 190, 2022-02-03T11:56:55+09:00, 2, 12, LOSE, r
