iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
#--> latest commit:8b7ff221f6d407b0f024faf1d7fe649f643898aa 20220204070339 in burger_war_dev
0, 1, 190, 2022-02-04T07:08:47+09:00, 7, 1, WIN, r
0, 2, 190, 2022-02-04T07:13:01+09:00, 6, 3, WIN, r
0, 3, 190, 2022-02-04T07:17:15+09:00, 9, 12, LOSE, r
0, 4, 190, 2022-02-04T07:21:29+09:00, 6, 17, LOSE, r
0, 5, 190, 2022-02-04T07:25:43+09:00, 15, 19, LOSE, r
0, 6, 190, 2022-02-04T07:29:57+09:00, 15, 16, LOSE, r
0, 7, 190, 2022-02-04T07:34:11+09:00, 3, 16, LOSE, r
0, 8, 190, 2022-02-04T07:38:26+09:00, 6, 0, WIN, r
0, 9, 190, 2022-02-04T07:42:40+09:00, 4, 17, LOSE, r
0, 10, 190, 2022-02-04T07:46:54+09:00, 8, 14, LOSE, r
0, 11, 190, 2022-02-04T07:51:08+09:00, 3, 14, LOSE, r
0, 12, 190, 2022-02-04T07:55:23+09:00, 9, 17, LOSE, r
1, 1, 190, 2022-02-04T14:59:18+09:00, 5, 1, WIN, r
1, 2, 190, 2022-02-04T15:03:33+09:00, 9, 1, WIN, r
1, 3, 190, 2022-02-04T15:07:47+09:00, 8, 12, LOSE, r
1, 4, 190, 2022-02-04T15:12:01+09:00, 10, 15, LOSE, r
1, 5, 190, 2022-02-04T15:16:15+09:00, 6, 17, LOSE, r
1, 6, 190, 2022-02-04T15:20:29+09:00, 10, 13, LOSE, r
1, 7, 190, 2022-02-04T15:24:43+09:00, 6, 16, LOSE, r
1, 8, 190, 2022-02-04T15:28:57+09:00, 7, 0, WIN, r
1, 9, 190, 2022-02-04T15:33:11+09:00, 1, 13, LOSE, r
1, 10, 190, 2022-02-04T15:37:25+09:00, 6, 4, WIN, r
1, 11, 190, 2022-02-04T15:41:39+09:00, 5, 16, LOSE, r
1, 12, 190, 2022-02-04T15:45:54+09:00, 1, 11, LOSE, r
#--> latest commit:9daae5a9e8c1df7bf3cba0bbfdd0329a90d838da 20220204104856 in burger_war_dev
2, 1, 190, 2022-02-04T22:54:02+09:00, 7, 1, WIN, r
2, 2, 190, 2022-02-04T22:58:16+09:00, 11, 12, LOSE, r
2, 3, 190, 2022-02-04T23:02:31+09:00, 10, 14, LOSE, r
2, 4, 190, 2022-02-04T23:06:45+09:00, 4, 15, LOSE, r
2, 5, 190, 2022-02-04T23:10:59+09:00, 2, 12, LOSE, r
2, 6, 190, 2022-02-04T23:15:13+09:00, 1, 11, LOSE, r
2, 7, 190, 2022-02-04T23:19:27+09:00, 10, 20, LOSE, r
2, 8, 190, 2022-02-04T23:23:41+09:00, 5, 0, WIN, r
2, 9, 190, 2022-02-04T23:27:55+09:00, 2, 12, LOSE, r
2, 10, 190, 2022-02-04T23:32:09+09:00, 6, 8, LOSE, r
2, 11, 190, 2022-02-04T23:36:23+09:00, 4, 15, LOSE, r
2, 12, 190, 2022-02-04T23:40:37+09:00, 4, 14, LOSE, r
