iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result
0, 1, 225, 2020-07-31T03:36:48+00:00, 3, 2, WIN
0, 2, 225, 2020-07-31T03:41:34+00:00, 2, 12, LOSE
0, 3, 225, 2020-07-31T03:46:21+00:00, 1, 11, LOSE
1, 1, 225, 2020-07-31T03:51:08+00:00, 6, 2, WIN
1, 2, 225, 2020-07-31T03:55:55+00:00, 1, 12, LOSE
1, 3, 225, 2020-07-31T04:00:42+00:00, 0, 12, LOSE
2, 1, 225, 2020-07-31T04:05:29+00:00, 1, 2, LOSE
2, 2, 225, 2020-07-31T04:10:15+00:00, 0, 12, LOSE
2, 3, 225, 2020-07-31T04:15:02+00:00, 0, 10, LOSE
3, 1, 225, 2020-07-31T04:19:49+00:00, 5, 2, WIN
3, 2, 225, 2020-07-31T04:24:35+00:00, 10, 13, LOSE
3, 3, 225, 2020-07-31T04:29:22+00:00, 14, 13, WIN
4, 1, 225, 2020-07-31T04:34:08+00:00, 1, 2, LOSE
4, 2, 225, 2020-07-31T04:38:55+00:00, 1, 12, LOSE
4, 3, 225, 2020-07-31T04:43:42+00:00, 1, 12, LOSE
5, 1, 225, 2020-07-31T04:48:28+00:00, 3, 2, WIN
5, 2, 225, 2020-07-31T04:53:15+00:00, 6, 13, LOSE
5, 3, 225, 2020-07-31T04:58:02+00:00, 1, 12, LOSE
6, 1, 225, 2020-07-31T05:02:49+00:00, 3, 2, WIN
6, 2, 225, 2020-07-31T05:07:36+00:00, 2, 13, LOSE
6, 3, 225, 2020-07-31T05:12:22+00:00, 1, 11, LOSE
7, 1, 225, 2020-07-31T05:17:09+00:00, 8, 2, WIN
7, 2, 225, 2020-07-31T05:21:56+00:00, 9, 10, LOSE
7, 3, 225, 2020-07-31T05:26:43+00:00, 0, 12, LOSE
8, 1, 225, 2020-07-31T05:31:30+00:00, 3, 2, WIN
8, 2, 225, 2020-07-31T05:36:16+00:00, 1, 12, LOSE
8, 3, 225, 2020-07-31T05:41:03+00:00, 0, 12, LOSE
9, 1, 225, 2020-07-31T05:45:50+00:00, 5, 2, WIN
9, 2, 225, 2020-07-31T05:50:36+00:00, 3, 13, LOSE
9, 3, 225, 2020-07-31T05:55:23+00:00, 10, 12, LOSE
10, 1, 225, 2020-07-31T06:00:10+00:00, 1, 2, LOSE
10, 2, 225, 2020-07-31T06:04:56+00:00, 11, 1, WIN
10, 3, 225, 2020-07-31T06:09:43+00:00, 6, 11, LOSE
11, 1, 225, 2020-07-31T06:14:30+00:00, 4, 2, WIN
11, 2, 225, 2020-07-31T06:19:17+00:00, 13, 12, WIN
11, 3, 225, 2020-07-31T06:24:04+00:00, 6, 12, LOSE
12, 1, 225, 2020-07-31T06:28:50+00:00, 4, 2, WIN
12, 2, 225, 2020-07-31T06:33:37+00:00, 9, 5, WIN
12, 3, 225, 2020-07-31T06:38:24+00:00, 1, 12, LOSE
13, 1, 225, 2020-07-31T06:43:10+00:00, 4, 2, WIN
13, 2, 225, 2020-07-31T06:47:57+00:00, 0, 12, LOSE
13, 3, 225, 2020-07-31T06:52:44+00:00, 1, 11, LOSE
14, 1, 225, 2020-07-31T06:57:30+00:00, 2, 2, LOSE
14, 2, 225, 2020-07-31T07:02:17+00:00, 12, 7, WIN
14, 3, 225, 2020-07-31T07:07:04+00:00, 4, 1, WIN
15, 1, 225, 2020-07-31T07:11:50+00:00, 5, 2, WIN
15, 2, 225, 2020-07-31T07:16:37+00:00, 0, 12, LOSE
15, 3, 225, 2020-07-31T07:21:24+00:00, 3, 13, LOSE
16, 1, 225, 2020-07-31T07:26:11+00:00, 3, 2, WIN
16, 2, 225, 2020-07-31T07:30:57+00:00, 7, 12, LOSE
16, 3, 225, 2020-07-31T07:35:44+00:00, 7, 12, LOSE
17, 1, 225, 2020-07-31T07:40:31+00:00, 1, 2, LOSE
17, 2, 225, 2020-07-31T07:45:17+00:00, 0, 10, LOSE
17, 3, 225, 2020-07-31T07:50:04+00:00, 8, 14, LOSE
18, 1, 225, 2020-07-31T07:54:50+00:00, 6, 2, WIN
18, 2, 225, 2020-07-31T07:59:37+00:00, 9, 10, LOSE
18, 3, 225, 2020-07-31T08:04:23+00:00, 1, 11, LOSE
19, 1, 225, 2020-07-31T08:09:10+00:00, 5, 2, WIN
19, 2, 225, 2020-07-31T08:13:56+00:00, 16, 13, WIN
19, 3, 225, 2020-07-31T08:18:43+00:00, 0, 11, LOSE
