time, my_score, enemy_score
2020-07-30T15:57:02+00:00, 14, 4
2020-07-30T16:01:50+00:00, 15, 4
2020-07-30T16:06:38+00:00, 14, 5
2020-07-30T16:11:26+00:00, 11, 13
2020-07-30T16:16:13+00:00, 17, 4
2020-07-30T16:21:01+00:00, 13, 7
2020-07-30T16:25:49+00:00, 14, 4
2020-07-30T16:30:37+00:00, 12, 10
2020-07-30T16:35:24+00:00, 9, 5
2020-07-30T16:40:12+00:00, 16, 13
2020-07-30T16:45:00+00:00, 12, 5
2020-07-30T16:49:47+00:00, 10, 0
2020-07-30T16:54:35+00:00, 10, 9
2020-07-30T16:59:22+00:00, 12, 7
2020-07-30T17:04:10+00:00, 17, 10
2020-07-30T17:08:58+00:00, 13, 6
2020-07-30T17:13:46+00:00, 17, 7
2020-07-30T17:18:33+00:00, 13, 1
2020-07-30T17:23:22+00:00, 16, 12
2020-07-30T17:28:09+00:00, 17, 13
2020-07-30T17:32:57+00:00, 12, 10
2020-07-30T17:37:45+00:00, 14, 1
2020-07-30T17:42:33+00:00, 12, 5
2020-07-30T17:47:20+00:00, 12, 4
2020-07-30T17:52:08+00:00, 17, 5
2020-07-30T17:56:56+00:00, 14, 9
2020-07-30T18:01:43+00:00, 16, 4
2020-07-30T18:06:31+00:00, 17, 10
2020-07-30T18:11:18+00:00, 17, 5
2020-07-30T18:16:06+00:00, 12, 13
2020-07-30T18:20:54+00:00, 10, 6
2020-07-30T18:25:41+00:00, 15, 4
2020-07-30T18:30:29+00:00, 10, 0
2020-07-30T18:35:17+00:00, 16, 4
2020-07-30T18:40:04+00:00, 9, 5
2020-07-30T18:44:52+00:00, 17, 4
2020-07-30T18:49:39+00:00, 17, 5
2020-07-30T18:54:27+00:00, 16, 13
2020-07-30T18:59:15+00:00, 17, 5
